id,name,price,description
1,BMW,12.85,Triple-buffered logistical website
2,Maserati,80.0,Public-key real-time middleware
3,Volvo,72.14,Optional coherent moratorium
4,Pontiac,50.29,Polarised uniform flexibility
5,Nissan,53.02,Reverse-engineered bottom-line architecture
6,Cadillac,54.95,Digitized even-keeled collaboration
7,Lexus,79.76,Balanced tangible matrix
8,Chevrolet,77.47,Secured motivating budgetary management
9,Suzuki,52.76,Up-sized didactic parallelism
10,Isuzu,43.66,Decentralized bandwidth-monitored knowledge base
11,Lotus,9.27,Multi-channelled 24 hour throughput
12,Oldsmobile,40.52,De-engineered attitude-oriented groupware
13,Saab,22.65,Persevering non-volatile superstructure
14,Cadillac,69.12,Ameliorated web-enabled moderator
15,Pontiac,99.95,Seamless empowering orchestration
16,Isuzu,34.78,Ameliorated human-resource definition
17,Buick,73.4,Extended impactful projection
18,Mazda,2.42,Total intangible toolset
19,Lincoln,42.3,Organized regional migration
20,Scion,27.16,Right-sized intermediate local area network
21,Mercedes-Benz,15.09,Expanded zero tolerance alliance
22,Cadillac,50.66,Stand-alone zero defect attitude
23,Ford,9.54,Future-proofed holistic model
24,Lotus,7.47,Digitized impactful secured line
25,GMC,2.39,Down-sized grid-enabled circuit
26,GMC,44.28,Up-sized human-resource website
27,Buick,34.41,Implemented local approach
28,Pontiac,63.51,Profound homogeneous protocol
29,Toyota,44.67,Secured static info-mediaries
30,Audi,9.85,Cloned multimedia synergy
31,Mercedes-Benz,27.17,Sharable heuristic frame
32,Chevrolet,33.9,Phased leading edge orchestration
33,Ford,12.3,Ameliorated scalable function
34,Mazda,90.44,Expanded coherent project
35,Acura,43.1,Down-sized cohesive knowledge user
36,Pontiac,39.69,Customizable directional workforce
37,BMW,37.5,Right-sized neutral customer loyalty
38,Toyota,90.57,User-friendly empowering open system
39,Infiniti,98.1,Public-key encompassing process improvement
40,Pontiac,45.84,Enterprise-wide mission-critical data-warehouse
41,Audi,72.47,Quality-focused holistic approach
42,Toyota,82.39,Seamless dedicated circuit
43,Nissan,52.16,Front-line exuding project
44,Buick,98.53,Object-based zero administration focus group
45,Dodge,98.45,Sharable hybrid intranet
46,GMC,98.03,Face to face heuristic forecast
47,Ford,87.93,Focused discrete core
48,Eagle,2.99,Balanced secondary local area network
49,Honda,12.5,Exclusive multi-state forecast
50,Mitsubishi,90.11,Versatile leading edge system engine
51,Suzuki,83.03,Multi-tiered methodical hardware
52,GMC,36.41,Robust secondary encryption
53,Dodge,8.25,Streamlined zero administration interface
54,Toyota,21.74,Quality-focused attitude-oriented system engine
55,Mazda,98.71,Reactive background database
56,Oldsmobile,24.15,Re-engineered local budgetary management
57,Volkswagen,55.46,User-centric object-oriented website
58,Ford,95.0,Up-sized empowering parallelism
59,Jeep,75.21,Switchable fresh-thinking open architecture
60,Ford,97.51,Optimized intermediate hierarchy
61,Cadillac,77.19,Quality-focused executive hub
62,Chevrolet,91.44,Innovative national implementation
63,GMC,24.58,Re-engineered didactic support
64,Honda,49.59,Enhanced content-based neural-net
65,Audi,43.97,User-centric 6th generation neural-net
66,Volvo,95.25,Decentralized modular implementation
67,Hyundai,71.14,Multi-lateral actuating architecture
68,Volkswagen,64.77,Focused well-modulated policy
69,Toyota,20.11,Operative bifurcated access
70,Smart,95.57,Exclusive scalable system engine
71,Subaru,40.5,Reduced cohesive toolset
72,Mercury,27.59,Universal discrete neural-net
73,Subaru,88.68,Realigned needs-based encoding
74,Infiniti,4.77,Decentralized system-worthy process improvement
75,Suzuki,17.54,Profound even-keeled matrix
76,Saturn,11.92,Stand-alone multi-tasking paradigm
77,Buick,47.66,Ameliorated system-worthy policy
78,Chevrolet,24.91,Object-based client-server instruction set
79,Mercury,40.83,Synergized bifurcated alliance
80,Chevrolet,33.97,Devolved asymmetric hardware
81,Lexus,67.71,Innovative executive analyzer
82,Mercury,27.22,Down-sized mission-critical website
